,predictor_Gaussian,estimate_Gaussian,t-value_Gaussian,predictor_Gaussian1,estimate_Gaussian1,t-value_Gaussian1,predictor_Gaussian2,estimate_Gaussian2,t-value_Gaussian2,predictor_Gaussian3,estimate_Gaussian3,t-value_Gaussian3,predictor_Gaussian4,estimate_Gaussian4,t-value_Gaussian4,predictor_Gaussian5,estimate_Gaussian5,t-value_Gaussian5,predictor_Gaussian6,estimate_Gaussian6,t-value_Gaussian6,predictor_ALD,estimate_ALD,t-value_ALD,predictor_ALD1,estimate_ALD1,t-value_ALD1,predictor_ALD2,estimate_ALD2,t-value_ALD2,predictor_ALD3,estimate_ALD3,t-value_ALD3,predictor_ALD4,estimate_ALD4,t-value_ALD4,predictor_ALD5,estimate_ALD5,t-value_ALD5,predictor_ALD6,estimate_ALD6,t-value_ALD6,predictor_Mixed,estimate_Mixed,t-value_Mixed,predictor_Mixed1,estimate_Mixed1,t-value_Mixed1,predictor_Mixed2,estimate_Mixed2,t-value_Mixed2,predictor_Mixed3,estimate_Mixed3,t-value_Mixed3,predictor_Mixed4,estimate_Mixed4,t-value_Mixed4,predictor_Mixed5,estimate_Mixed5,t-value_Mixed5,predictor_Mixed6,estimate_Mixed6,t-value_Mixed6
27,NN200:estGR,-0.1,-0.5,NN200:estGR,0.2,0.8,NN200:estGR,1.2,2.5,NN200:estGR,-0.4,-0.5,NN200:estGR,-1.2,-2.5,NN200:estGR,-0.2,-0.6,NN200:estGR,0.1,0.5,NN200:estGR,-0.5,-2.2,NN200:estGR,-0.3,-1,NN200:estGR,1.7,3.7,NN200:estGR,3.3,4.9,NN200:estGR,-0.9,-2.3,NN200:estGR,0.1,0.5,NN200:estGR,0.2,1.1,NN200:estGR,-0.5,-2,NN200:estGR,-0.1,-0.4,NN200:estGR,1.4,2.9,NN200:estGR,3,4.3,NN200:estGR,-0.5,-1.4,NN200:estGR,-0.3,-1.2,NN200:estGR,-0.2,-1.2
28,II0.5:RR5,0.8,3.7,II0.5:RR5,0.8,2.5,II0.5:RR5,-1,-1.8,II0.5:RR5,-4.8,-6.2,II0.5:RR5,-5.1,-9.2,II0.5:RR5,-3.5,-10.3,II0.5:RR5,-2.3,-9.8,II0.5:RR5,-0.4,-1.3,II0.5:RR5,-0.7,-2,II0.5:RR5,-0.9,-1.7,II0.5:RR5,-0.2,-0.2,II0.5:RR5,-3.7,-7.9,II0.5:RR5,-2.2,-8.4,II0.5:RR5,-1.8,-8.3,II0.5:RR5,1.3,3.9,II0.5:RR5,1.6,4,II0.5:RR5,2.8,5.1,II0.5:RR5,2.9,3.8,II0.5:RR5,-2.1,-4.5,II0.5:RR5,-1.7,-6.2,II0.5:RR5,-1.5,-6.6
29,II0.9:RR5,0.4,2,II0.9:RR5,0.5,1.5,II0.9:RR5,-0.3,-0.6,II0.9:RR5,-4.3,-5.9,II0.9:RR5,-5.6,-10.7,II0.9:RR5,-3.5,-10.8,II0.9:RR5,-2.2,-9.6,II0.9:RR5,0.4,1.3,II0.9:RR5,-0.1,-0.3,II0.9:RR5,-1,-2,II0.9:RR5,-1.9,-2.8,II0.9:RR5,-3.7,-8.3,II0.9:RR5,-2.2,-8.4,II0.9:RR5,-1.6,-7.9,II0.9:RR5,1.5,5.1,II0.9:RR5,1.8,4.9,II0.9:RR5,1.7,3.2,II0.9:RR5,-0.1,-0.1,II0.9:RR5,-2.1,-4.6,II0.9:RR5,-1.2,-4.5,II0.9:RR5,-1,-4.7
30,II0.5:RR10,1.5,7,II0.5:RR10,1.5,4.8,II0.5:RR10,-0.2,-0.4,II0.5:RR10,-3.5,-4.5,II0.5:RR10,-4,-7.2,II0.5:RR10,-3.4,-10.4,II0.5:RR10,-2.5,-11,II0.5:RR10,-0.2,-0.6,II0.5:RR10,-0.7,-2,II0.5:RR10,-1,-2.1,II0.5:RR10,-2.4,-3.3,II0.5:RR10,-4.9,-10.9,II0.5:RR10,-2.4,-9.5,II0.5:RR10,-1.7,-8.3,II0.5:RR10,1.2,4.1,II0.5:RR10,1.1,3,II0.5:RR10,1.1,2.1,II0.5:RR10,0,0,II0.5:RR10,-4.1,-9,II0.5:RR10,-2.8,-11,II0.5:RR10,-2.1,-10.3
31,II0.9:RR10,1.4,6.2,II0.9:RR10,1.3,4,II0.9:RR10,1.4,2.7,II0.9:RR10,-3.5,-4.8,II0.9:RR10,-4.3,-8.3,II0.9:RR10,-3,-9.5,II0.9:RR10,-2.2,-10,II0.9:RR10,1.4,5.2,II0.9:RR10,1,3,II0.9:RR10,1.9,3.9,II0.9:RR10,-3.1,-4.6,II0.9:RR10,-4.7,-10.9,II0.9:RR10,-2.5,-9.9,II0.9:RR10,-1.7,-8.3,II0.9:RR10,2,6.8,II0.9:RR10,1.8,5.2,II0.9:RR10,0.5,1,II0.9:RR10,-3.2,-4.6,II0.9:RR10,-3.5,-8.3,II0.9:RR10,-1.9,-7.4,II0.9:RR10,-1.6,-7.7
32,II0.5:anlDP_diffuse,-5.8,-25.9,II0.5:anlDP_diffuse,-7.7,-24.7,II0.5:anlDP_diffuse,-10.1,-18.9,II0.5:anlDP_diffuse,0.1,0.1,II0.5:anlDP_diffuse,9.1,16.8,II0.5:anlDP_diffuse,7.1,22,II0.5:anlDP_diffuse,5.6,24.3,II0.5:anlDP_diffuse,-9.1,-30.6,II0.5:anlDP_diffuse,-10,-27.4,II0.5:anlDP_diffuse,-10.1,-19.7,II0.5:anlDP_diffuse,-4.9,-6.7,II0.5:anlDP_diffuse,9.5,20.7,II0.5:anlDP_diffuse,5.5,21.1,II0.5:anlDP_diffuse,4.2,20.1,II0.5:anlDP_diffuse,-9,-28.2,II0.5:anlDP_diffuse,-10,-26.1,II0.5:anlDP_diffuse,-10.2,-19.4,II0.5:anlDP_diffuse,-5,-6.9,II0.5:anlDP_diffuse,8.7,18.9,II0.5:anlDP_diffuse,5.2,19.5,II0.5:anlDP_diffuse,4.2,19.8
33,II0.9:anlDP_diffuse,-6.2,-28.4,II0.9:anlDP_diffuse,-8.5,-27.7,II0.9:anlDP_diffuse,-11.8,-23.2,II0.9:anlDP_diffuse,-0.1,-0.1,II0.9:anlDP_diffuse,10.9,21.4,II0.9:anlDP_diffuse,8,25.5,II0.9:anlDP_diffuse,6.1,27.3,II0.9:anlDP_diffuse,-10.4,-37.2,II0.9:anlDP_diffuse,-13.6,-39.4,II0.9:anlDP_diffuse,-14.1,-28.3,II0.9:anlDP_diffuse,-4.3,-6.3,II0.9:anlDP_diffuse,10.4,23.9,II0.9:anlDP_diffuse,6.1,23.9,II0.9:anlDP_diffuse,4.8,23,II0.9:anlDP_diffuse,-10.8,-35.7,II0.9:anlDP_diffuse,-13.5,-37.1,II0.9:anlDP_diffuse,-14.2,-28.2,II0.9:anlDP_diffuse,-3.1,-4.5,II0.9:anlDP_diffuse,9.6,21.9,II0.9:anlDP_diffuse,5.4,20.5,II0.9:anlDP_diffuse,4.6,20.9
34,II0.5:anlDP_Inform,-0.8,-4.1,II0.5:anlDP_Inform,-1.1,-3.9,II0.5:anlDP_Inform,-0.8,-1.5,II0.5:anlDP_Inform,0.2,0.2,II0.5:anlDP_Inform,0.7,1.3,II0.5:anlDP_Inform,1.1,3.7,II0.5:anlDP_Inform,0.9,4.5,II0.5:anlDP_Inform,-3.8,-15.2,II0.5:anlDP_Inform,-5.1,-15.9,II0.5:anlDP_Inform,-5.5,-11.2,II0.5:anlDP_Inform,4.2,5.6,II0.5:anlDP_Inform,1.3,3.1,II0.5:anlDP_Inform,-0.5,-2,II0.5:anlDP_Inform,-0.6,-3.4,II0.5:anlDP_Inform,-4.3,-15.4,II0.5:anlDP_Inform,-5.2,-15.2,II0.5:anlDP_Inform,-3.6,-7.1,II0.5:anlDP_Inform,6.2,8.3,II0.5:anlDP_Inform,-0.3,-0.6,II0.5:anlDP_Inform,-1.3,-5.5,II0.5:anlDP_Inform,-0.8,-4.5
35,II0.9:anlDP_Inform,-0.5,-2.7,II0.9:anlDP_Inform,-0.7,-2.4,II0.9:anlDP_Inform,-1,-2.1,II0.9:anlDP_Inform,0.2,0.2,II0.9:anlDP_Inform,1,2.1,II0.9:anlDP_Inform,0.6,2.2,II0.9:anlDP_Inform,0.6,3.3,II0.9:anlDP_Inform,-2.5,-10.9,II0.9:anlDP_Inform,-5.3,-17.7,II0.9:anlDP_Inform,-4.5,-9.3,II0.9:anlDP_Inform,4.1,5.9,II0.9:anlDP_Inform,0.8,2,II0.9:anlDP_Inform,0,0.2,II0.9:anlDP_Inform,0,0,II0.9:anlDP_Inform,-3.5,-13.4,II0.9:anlDP_Inform,-5.5,-17,II0.9:anlDP_Inform,-4.7,-9.7,II0.9:anlDP_Inform,6.1,8.9,II0.9:anlDP_Inform,-0.2,-0.5,II0.9:anlDP_Inform,-0.9,-3.7,II0.9:anlDP_Inform,-0.3,-1.7
36,II0.5:estCB,-3.9,-18.8,II0.5:estCB,-4.5,-15.1,II0.5:estCB,-5.2,-9.3,II0.5:estCB,1.2,1.4,II0.5:estCB,5.1,9.1,II0.5:estCB,3.8,12,II0.5:estCB,3.3,15.5,II0.5:estCB,-6.1,-21.9,II0.5:estCB,-5.7,-15.9,II0.5:estCB,-3.3,-6.2,II0.5:estCB,-2.8,-3.5,II0.5:estCB,6.1,13.3,II0.5:estCB,4.7,19.1,II0.5:estCB,3.8,19.7,II0.5:estCB,-5.2,-16.9,II0.5:estCB,-4.4,-11.6,II0.5:estCB,-2.5,-4.5,II0.5:estCB,-3,-3.8,II0.5:estCB,6.3,13.6,II0.5:estCB,3.2,12.5,II0.5:estCB,2.2,10.6
37,II0.9:estCB,-6.2,-30.4,II0.9:estCB,-8.5,-28.3,II0.9:estCB,-11.2,-21.3,II0.9:estCB,1,1.2,II0.9:estCB,11.4,21.5,II0.9:estCB,7.9,25.6,II0.9:estCB,5.9,27.7,II0.9:estCB,-9.5,-35.7,II0.9:estCB,-10.2,-30.1,II0.9:estCB,-9.2,-17.4,II0.9:estCB,-8.4,-11.5,II0.9:estCB,10,23,II0.9:estCB,6.9,28.7,II0.9:estCB,5.6,29.1,II0.9:estCB,-9.2,-31.4,II0.9:estCB,-9.7,-27,II0.9:estCB,-9.6,-18.1,II0.9:estCB,-8.1,-10.9,II0.9:estCB,10.9,24.8,II0.9:estCB,6.3,24.6,II0.9:estCB,4.9,23.2
38,II0.5:estGR,-3.6,-18.6,II0.5:estGR,-3.7,-12.8,II0.5:estGR,-3.5,-6.3,II0.5:estGR,0.9,1.1,II0.5:estGR,3.6,6.4,II0.5:estGR,3.3,10.5,II0.5:estGR,3.2,15.8,II0.5:estGR,-4.5,-16.9,II0.5:estGR,-3.9,-11.2,II0.5:estGR,-1.8,-3.4,II0.5:estGR,-2.4,-3,II0.5:estGR,4.2,9.2,II0.5:estGR,4.3,18.5,II0.5:estGR,3.8,20.6,II0.5:estGR,-3.9,-13.4,II0.5:estGR,-3.4,-9.3,II0.5:estGR,-2,-3.7,II0.5:estGR,-3,-3.7,II0.5:estGR,4.5,9.8,II0.5:estGR,3.2,13,II0.5:estGR,2.7,14.3
39,II0.9:estGR,-6,-30.6,II0.9:estGR,-7.8,-27.2,II0.9:estGR,-10,-19.2,II0.9:estGR,0.9,1.2,II0.9:estGR,10.4,19.7,II0.9:estGR,7.4,24.4,II0.9:estGR,5.7,28.2,II0.9:estGR,-7.9,-31.2,II0.9:estGR,-7.8,-23.9,II0.9:estGR,-6.5,-12.5,II0.9:estGR,-9.4,-12.8,II0.9:estGR,9.1,21.2,II0.9:estGR,7,30.3,II0.9:estGR,5.7,31.2,II0.9:estGR,-7.4,-26.4,II0.9:estGR,-7.4,-21.2,II0.9:estGR,-7.7,-14.8,II0.9:estGR,-10.2,-13.7,II0.9:estGR,10.4,23.8,II0.9:estGR,6.7,27.6,II0.9:estGR,5.2,26.1
40,RR5:anlDP_diffuse,-0.5,-2.5,RR5:anlDP_diffuse,-0.5,-1.8,RR5:anlDP_diffuse,-0.2,-0.4,RR5:anlDP_diffuse,0,0,RR5:anlDP_diffuse,0.7,1.4,RR5:anlDP_diffuse,1,3.3,RR5:anlDP_diffuse,1,4.6,RR5:anlDP_diffuse,-0.7,-2.7,RR5:anlDP_diffuse,-0.7,-2.3,RR5:anlDP_diffuse,-0.8,-1.8,RR5:anlDP_diffuse,0.1,0.2,RR5:anlDP_diffuse,1.1,2.7,RR5:anlDP_diffuse,1,4.1,RR5:anlDP_diffuse,0.9,4.4,RR5:anlDP_diffuse,-1.1,-3.9,RR5:anlDP_diffuse,-1.1,-3.1,RR5:anlDP_diffuse,-0.7,-1.5,RR5:anlDP_diffuse,0,0,RR5:anlDP_diffuse,0.6,1.5,RR5:anlDP_diffuse,0.8,3,RR5:anlDP_diffuse,0.6,2.9
41,RR10:anlDP_diffuse,-1,-5,RR10:anlDP_diffuse,-1.2,-4,RR10:anlDP_diffuse,-0.7,-1.5,RR10:anlDP_diffuse,-0.1,-0.2,RR10:anlDP_diffuse,1.2,2.6,RR10:anlDP_diffuse,1.6,5.6,RR10:anlDP_diffuse,1.4,7,RR10:anlDP_diffuse,-1.4,-5.7,RR10:anlDP_diffuse,-1.6,-5.2,RR10:anlDP_diffuse,-1.1,-2.5,RR10:anlDP_diffuse,-0.5,-0.8,RR10:anlDP_diffuse,1.6,4.1,RR10:anlDP_diffuse,1.5,6.5,RR10:anlDP_diffuse,1.3,6.6,RR10:anlDP_diffuse,-1.8,-6.7,RR10:anlDP_diffuse,-1.8,-5.6,RR10:anlDP_diffuse,-1.6,-3.4,RR10:anlDP_diffuse,-0.5,-0.8,RR10:anlDP_diffuse,1.3,3.3,RR10:anlDP_diffuse,1.4,5.9,RR10:anlDP_diffuse,1.2,6.1
42,RR5:anlDP_Inform,0.1,0.3,RR5:anlDP_Inform,0.2,0.6,RR5:anlDP_Inform,-0.1,-0.2,RR5:anlDP_Inform,0,-0.1,RR5:anlDP_Inform,0.1,0.2,RR5:anlDP_Inform,0.1,0.4,RR5:anlDP_Inform,0.1,0.7,RR5:anlDP_Inform,-0.3,-1.2,RR5:anlDP_Inform,-0.3,-1.2,RR5:anlDP_Inform,-0.2,-0.4,RR5:anlDP_Inform,0.6,0.9,RR5:anlDP_Inform,0.2,0.5,RR5:anlDP_Inform,0.2,0.8,RR5:anlDP_Inform,0.2,1.3,RR5:anlDP_Inform,-0.4,-1.8,RR5:anlDP_Inform,-0.3,-1,RR5:anlDP_Inform,-0.3,-0.6,RR5:anlDP_Inform,0.2,0.4,RR5:anlDP_Inform,0.1,0.2,RR5:anlDP_Inform,0.1,0.4,RR5:anlDP_Inform,0,0.2
43,RR10:anlDP_Inform,0,0,RR10:anlDP_Inform,-0.1,-0.5,RR10:anlDP_Inform,-0.2,-0.4,RR10:anlDP_Inform,-0.1,-0.1,RR10:anlDP_Inform,0.4,0.9,RR10:anlDP_Inform,0.3,1,RR10:anlDP_Inform,0.1,0.7,RR10:anlDP_Inform,-0.4,-1.9,RR10:anlDP_Inform,-0.5,-2,RR10:anlDP_Inform,0.2,0.4,RR10:anlDP_Inform,-0.2,-0.3,RR10:anlDP_Inform,0.2,0.7,RR10:anlDP_Inform,0.2,0.9,RR10:anlDP_Inform,0.2,1.1,RR10:anlDP_Inform,-0.5,-2.3,RR10:anlDP_Inform,-0.4,-1.2,RR10:anlDP_Inform,-0.3,-0.6,RR10:anlDP_Inform,-0.1,-0.2,RR10:anlDP_Inform,0,0.1,RR10:anlDP_Inform,0.1,0.4,RR10:anlDP_Inform,0.2,1
44,RR5:estCB,0,-0.2,RR5:estCB,0.1,0.2,RR5:estCB,-0.3,-0.6,RR5:estCB,-0.6,-0.9,RR5:estCB,0.3,0.5,RR5:estCB,0.1,0.4,RR5:estCB,0.4,1.8,RR5:estCB,-0.3,-1.1,RR5:estCB,-0.1,-0.4,RR5:estCB,0.1,0.3,RR5:estCB,-0.2,-0.3,RR5:estCB,0.5,1.1,RR5:estCB,0.6,2.4,RR5:estCB,0.6,3.3,RR5:estCB,-0.3,-1.2,RR5:estCB,-0.1,-0.3,RR5:estCB,0,0.1,RR5:estCB,-0.8,-1.2,RR5:estCB,0.4,0.9,RR5:estCB,0.7,2.7,RR5:estCB,0.5,2.3
45,RR10:estCB,-0.3,-1.8,RR10:estCB,-0.4,-1.3,RR10:estCB,-0.7,-1.4,RR10:estCB,-0.5,-0.8,RR10:estCB,0.5,1.1,RR10:estCB,0.4,1.5,RR10:estCB,0.6,3,RR10:estCB,-0.6,-2.7,RR10:estCB,-0.4,-1.3,RR10:estCB,0.6,1.4,RR10:estCB,0,0.1,RR10:estCB,0.8,1.9,RR10:estCB,1,4.4,RR10:estCB,0.8,4.4,RR10:estCB,-0.2,-0.8,RR10:estCB,0,0,RR10:estCB,0.4,0.8,RR10:estCB,-0.6,-0.9,RR10:estCB,0.8,2,RR10:estCB,0.5,2.1,RR10:estCB,0.4,2.2
46,RR5:estGR,0,0.1,RR5:estGR,0.4,1.4,RR5:estGR,0.7,1.5,RR5:estGR,-0.8,-1,RR5:estGR,-0.9,-1.7,RR5:estGR,-0.2,-0.8,RR5:estGR,0.2,1.2,RR5:estGR,-0.1,-0.4,RR5:estGR,-0.1,-0.2,RR5:estGR,0.7,1.4,RR5:estGR,0.9,1.3,RR5:estGR,-0.5,-1.2,RR5:estGR,0.2,0.7,RR5:estGR,0.3,1.9,RR5:estGR,-0.2,-0.9,RR5:estGR,0.1,0.3,RR5:estGR,0.5,1.1,RR5:estGR,0.6,0.8,RR5:estGR,-0.8,-1.8,RR5:estGR,0.2,0.7,RR5:estGR,0.3,1.4
47,RR10:estGR,-0.2,-1.2,RR10:estGR,0.3,1,RR10:estGR,1.2,2.5,RR10:estGR,-0.6,-0.8,RR10:estGR,-1.2,-2.4,RR10:estGR,-0.3,-1.1,RR10:estGR,0.4,2,RR10:estGR,-0.4,-2,RR10:estGR,-0.3,-1,RR10:estGR,1.4,3.2,RR10:estGR,2.2,3.2,RR10:estGR,-0.9,-2.1,RR10:estGR,0.3,1.3,RR10:estGR,0.4,2.5,RR10:estGR,-0.1,-0.5,RR10:estGR,0.3,1,RR10:estGR,1.5,3.2,RR10:estGR,1.7,2.5,RR10:estGR,-1.3,-3.3,RR10:estGR,-0.2,-0.7,RR10:estGR,0.2,1.2
48,anlDP_diffuse:estCB,2.3,12.1,anlDP_diffuse:estCB,2.2,7.8,anlDP_diffuse:estCB,-0.6,-1.1,anlDP_diffuse:estCB,0,0,anlDP_diffuse:estCB,0.6,1.2,anlDP_diffuse:estCB,-2.1,-7.4,anlDP_diffuse:estCB,-2.2,-11.1,anlDP_diffuse:estCB,1.8,7.2,anlDP_diffuse:estCB,1.3,4.1,anlDP_diffuse:estCB,0.6,1.3,anlDP_diffuse:estCB,-1.8,-2.7,anlDP_diffuse:estCB,-0.4,-1,anlDP_diffuse:estCB,-2,-8.7,anlDP_diffuse:estCB,-1.9,-10.4,anlDP_diffuse:estCB,1.8,6.8,anlDP_diffuse:estCB,1.4,4.1,anlDP_diffuse:estCB,0.3,0.6,anlDP_diffuse:estCB,-2,-2.9,anlDP_diffuse:estCB,-0.4,-0.9,anlDP_diffuse:estCB,-2.1,-8.9,anlDP_diffuse:estCB,-2.2,-11.1
49,anlDP_Inform:estCB,0.1,0.7,anlDP_Inform:estCB,0.2,1,anlDP_Inform:estCB,0.2,0.3,anlDP_Inform:estCB,-0.1,-0.2,anlDP_Inform:estCB,-0.2,-0.5,anlDP_Inform:estCB,-0.1,-0.5,anlDP_Inform:estCB,-0.1,-0.6,anlDP_Inform:estCB,-1.3,-6.4,anlDP_Inform:estCB,-1.6,-5.9,anlDP_Inform:estCB,0.7,1.6,anlDP_Inform:estCB,1,1.4,anlDP_Inform:estCB,0.6,1.6,anlDP_Inform:estCB,0,-0.2,anlDP_Inform:estCB,-0.1,-0.4,anlDP_Inform:estCB,-1.1,-4.5,anlDP_Inform:estCB,-0.8,-2.7,anlDP_Inform:estCB,1.2,2.6,anlDP_Inform:estCB,0.3,0.4,anlDP_Inform:estCB,0.4,1,anlDP_Inform:estCB,-0.4,-1.9,anlDP_Inform:estCB,-0.5,-2.8
50,anlDP_diffuse:estGR,2.4,13,anlDP_diffuse:estGR,2.2,8.3,anlDP_diffuse:estGR,-0.3,-0.6,anlDP_diffuse:estGR,-0.1,-0.2,anlDP_diffuse:estGR,0.2,0.5,anlDP_diffuse:estGR,-2.2,-7.8,anlDP_diffuse:estGR,-2.1,-11.4,anlDP_diffuse:estGR,1.5,6.3,anlDP_diffuse:estGR,1.3,4.3,anlDP_diffuse:estGR,1.4,2.9,anlDP_diffuse:estGR,-1.2,-1.8,anlDP_diffuse:estGR,-0.7,-1.7,anlDP_diffuse:estGR,-2.1,-9.7,anlDP_diffuse:estGR,-2.1,-12.1,anlDP_diffuse:estGR,1.8,7,anlDP_diffuse:estGR,1.6,4.8,anlDP_diffuse:estGR,0.9,1.8,anlDP_diffuse:estGR,-1.7,-2.5,anlDP_diffuse:estGR,-0.9,-2.3,anlDP_diffuse:estGR,-2.3,-10.1,anlDP_diffuse:estGR,-2.2,-12
51,anlDP_Inform:estGR,0,0.1,anlDP_Inform:estGR,0.2,0.8,anlDP_Inform:estGR,0.6,1.2,anlDP_Inform:estGR,-0.1,-0.1,anlDP_Inform:estGR,-0.6,-1.2,anlDP_Inform:estGR,-0.2,-0.6,anlDP_Inform:estGR,0,0,anlDP_Inform:estGR,-1.9,-10.2,anlDP_Inform:estGR,-2,-7.6,anlDP_Inform:estGR,1.9,4.2,anlDP_Inform:estGR,2,2.8,anlDP_Inform:estGR,0.4,1.1,anlDP_Inform:estGR,-0.2,-1.2,anlDP_Inform:estGR,-0.4,-2.4,anlDP_Inform:estGR,-1.3,-6.1,anlDP_Inform:estGR,-0.8,-2.9,anlDP_Inform:estGR,1.7,3.8,anlDP_Inform:estGR,1.3,1.9,anlDP_Inform:estGR,-0.4,-1.2,anlDP_Inform:estGR,-0.8,-3.6,anlDP_Inform:estGR,-0.6,-3.4
