"","j_cond","truth","N","ICC","rsr","df","dg_name"
"1",1,"Gaussian",25,0.1,1,5,"Gaussian_25_0.1_1"
"2",2,"Gaussian",25,0.1,5,5,"Gaussian_25_0.1_5"
"3",3,"Gaussian",25,0.1,10,5,"Gaussian_25_0.1_10"
"4",4,"Gaussian",25,0.5,1,5,"Gaussian_25_0.5_1"
"5",5,"Gaussian",25,0.5,5,5,"Gaussian_25_0.5_5"
"6",6,"Gaussian",25,0.5,10,5,"Gaussian_25_0.5_10"
"7",7,"Gaussian",25,0.9,1,5,"Gaussian_25_0.9_1"
"8",8,"Gaussian",25,0.9,5,5,"Gaussian_25_0.9_5"
"9",9,"Gaussian",25,0.9,10,5,"Gaussian_25_0.9_10"
"10",10,"Gaussian",50,0.1,1,5,"Gaussian_50_0.1_1"
"11",11,"Gaussian",50,0.1,5,5,"Gaussian_50_0.1_5"
"12",12,"Gaussian",50,0.1,10,5,"Gaussian_50_0.1_10"
"13",13,"Gaussian",50,0.5,1,5,"Gaussian_50_0.5_1"
"14",14,"Gaussian",50,0.5,5,5,"Gaussian_50_0.5_5"
"15",15,"Gaussian",50,0.5,10,5,"Gaussian_50_0.5_10"
"16",16,"Gaussian",50,0.9,1,5,"Gaussian_50_0.9_1"
"17",17,"Gaussian",50,0.9,5,5,"Gaussian_50_0.9_5"
"18",18,"Gaussian",50,0.9,10,5,"Gaussian_50_0.9_10"
"19",19,"Gaussian",100,0.1,1,5,"Gaussian_100_0.1_1"
"20",20,"Gaussian",100,0.1,5,5,"Gaussian_100_0.1_5"
"21",21,"Gaussian",100,0.1,10,5,"Gaussian_100_0.1_10"
"22",22,"Gaussian",100,0.5,1,5,"Gaussian_100_0.5_1"
"23",23,"Gaussian",100,0.5,5,5,"Gaussian_100_0.5_5"
"24",24,"Gaussian",100,0.5,10,5,"Gaussian_100_0.5_10"
"25",25,"Gaussian",100,0.9,1,5,"Gaussian_100_0.9_1"
"26",26,"Gaussian",100,0.9,5,5,"Gaussian_100_0.9_5"
"27",27,"Gaussian",100,0.9,10,5,"Gaussian_100_0.9_10"
"28",28,"Gaussian",200,0.1,1,5,"Gaussian_200_0.1_1"
"29",29,"Gaussian",200,0.1,5,5,"Gaussian_200_0.1_5"
"30",30,"Gaussian",200,0.1,10,5,"Gaussian_200_0.1_10"
"31",31,"Gaussian",200,0.5,1,5,"Gaussian_200_0.5_1"
"32",32,"Gaussian",200,0.5,5,5,"Gaussian_200_0.5_5"
"33",33,"Gaussian",200,0.5,10,5,"Gaussian_200_0.5_10"
"34",34,"Gaussian",200,0.9,1,5,"Gaussian_200_0.9_1"
"35",35,"Gaussian",200,0.9,5,5,"Gaussian_200_0.9_5"
"36",36,"Gaussian",200,0.9,10,5,"Gaussian_200_0.9_10"
"37",37,"T",25,0.1,1,5,"T_25_0.1_1"
"38",38,"T",25,0.1,5,5,"T_25_0.1_5"
"39",39,"T",25,0.1,10,5,"T_25_0.1_10"
"40",40,"T",25,0.5,1,5,"T_25_0.5_1"
"41",41,"T",25,0.5,5,5,"T_25_0.5_5"
"42",42,"T",25,0.5,10,5,"T_25_0.5_10"
"43",43,"T",25,0.9,1,5,"T_25_0.9_1"
"44",44,"T",25,0.9,5,5,"T_25_0.9_5"
"45",45,"T",25,0.9,10,5,"T_25_0.9_10"
"46",46,"T",50,0.1,1,5,"T_50_0.1_1"
"47",47,"T",50,0.1,5,5,"T_50_0.1_5"
"48",48,"T",50,0.1,10,5,"T_50_0.1_10"
"49",49,"T",50,0.5,1,5,"T_50_0.5_1"
"50",50,"T",50,0.5,5,5,"T_50_0.5_5"
"51",51,"T",50,0.5,10,5,"T_50_0.5_10"
"52",52,"T",50,0.9,1,5,"T_50_0.9_1"
"53",53,"T",50,0.9,5,5,"T_50_0.9_5"
"54",54,"T",50,0.9,10,5,"T_50_0.9_10"
"55",55,"T",100,0.1,1,5,"T_100_0.1_1"
"56",56,"T",100,0.1,5,5,"T_100_0.1_5"
"57",57,"T",100,0.1,10,5,"T_100_0.1_10"
"58",58,"T",100,0.5,1,5,"T_100_0.5_1"
"59",59,"T",100,0.5,5,5,"T_100_0.5_5"
"60",60,"T",100,0.5,10,5,"T_100_0.5_10"
"61",61,"T",100,0.9,1,5,"T_100_0.9_1"
"62",62,"T",100,0.9,5,5,"T_100_0.9_5"
"63",63,"T",100,0.9,10,5,"T_100_0.9_10"
"64",64,"T",200,0.1,1,5,"T_200_0.1_1"
"65",65,"T",200,0.1,5,5,"T_200_0.1_5"
"66",66,"T",200,0.1,10,5,"T_200_0.1_10"
"67",67,"T",200,0.5,1,5,"T_200_0.5_1"
"68",68,"T",200,0.5,5,5,"T_200_0.5_5"
"69",69,"T",200,0.5,10,5,"T_200_0.5_10"
"70",70,"T",200,0.9,1,5,"T_200_0.9_1"
"71",71,"T",200,0.9,5,5,"T_200_0.9_5"
"72",72,"T",200,0.9,10,5,"T_200_0.9_10"
"73",73,"ALD",25,0.1,1,5,"ALD_25_0.1_1"
"74",74,"ALD",25,0.1,5,5,"ALD_25_0.1_5"
"75",75,"ALD",25,0.1,10,5,"ALD_25_0.1_10"
"76",76,"ALD",25,0.5,1,5,"ALD_25_0.5_1"
"77",77,"ALD",25,0.5,5,5,"ALD_25_0.5_5"
"78",78,"ALD",25,0.5,10,5,"ALD_25_0.5_10"
"79",79,"ALD",25,0.9,1,5,"ALD_25_0.9_1"
"80",80,"ALD",25,0.9,5,5,"ALD_25_0.9_5"
"81",81,"ALD",25,0.9,10,5,"ALD_25_0.9_10"
"82",82,"ALD",50,0.1,1,5,"ALD_50_0.1_1"
"83",83,"ALD",50,0.1,5,5,"ALD_50_0.1_5"
"84",84,"ALD",50,0.1,10,5,"ALD_50_0.1_10"
"85",85,"ALD",50,0.5,1,5,"ALD_50_0.5_1"
"86",86,"ALD",50,0.5,5,5,"ALD_50_0.5_5"
"87",87,"ALD",50,0.5,10,5,"ALD_50_0.5_10"
"88",88,"ALD",50,0.9,1,5,"ALD_50_0.9_1"
"89",89,"ALD",50,0.9,5,5,"ALD_50_0.9_5"
"90",90,"ALD",50,0.9,10,5,"ALD_50_0.9_10"
"91",91,"ALD",100,0.1,1,5,"ALD_100_0.1_1"
"92",92,"ALD",100,0.1,5,5,"ALD_100_0.1_5"
"93",93,"ALD",100,0.1,10,5,"ALD_100_0.1_10"
"94",94,"ALD",100,0.5,1,5,"ALD_100_0.5_1"
"95",95,"ALD",100,0.5,5,5,"ALD_100_0.5_5"
"96",96,"ALD",100,0.5,10,5,"ALD_100_0.5_10"
"97",97,"ALD",100,0.9,1,5,"ALD_100_0.9_1"
"98",98,"ALD",100,0.9,5,5,"ALD_100_0.9_5"
"99",99,"ALD",100,0.9,10,5,"ALD_100_0.9_10"
"100",100,"ALD",200,0.1,1,5,"ALD_200_0.1_1"
"101",101,"ALD",200,0.1,5,5,"ALD_200_0.1_5"
"102",102,"ALD",200,0.1,10,5,"ALD_200_0.1_10"
"103",103,"ALD",200,0.5,1,5,"ALD_200_0.5_1"
"104",104,"ALD",200,0.5,5,5,"ALD_200_0.5_5"
"105",105,"ALD",200,0.5,10,5,"ALD_200_0.5_10"
"106",106,"ALD",200,0.9,1,5,"ALD_200_0.9_1"
"107",107,"ALD",200,0.9,5,5,"ALD_200_0.9_5"
"108",108,"ALD",200,0.9,10,5,"ALD_200_0.9_10"
"109",109,"Bimodal",25,0.1,1,5,"Bimodal_25_0.1_1"
"110",110,"Bimodal",25,0.1,5,5,"Bimodal_25_0.1_5"
"111",111,"Bimodal",25,0.1,10,5,"Bimodal_25_0.1_10"
"112",112,"Bimodal",25,0.5,1,5,"Bimodal_25_0.5_1"
"113",113,"Bimodal",25,0.5,5,5,"Bimodal_25_0.5_5"
"114",114,"Bimodal",25,0.5,10,5,"Bimodal_25_0.5_10"
"115",115,"Bimodal",25,0.9,1,5,"Bimodal_25_0.9_1"
"116",116,"Bimodal",25,0.9,5,5,"Bimodal_25_0.9_5"
"117",117,"Bimodal",25,0.9,10,5,"Bimodal_25_0.9_10"
"118",118,"Bimodal",50,0.1,1,5,"Bimodal_50_0.1_1"
"119",119,"Bimodal",50,0.1,5,5,"Bimodal_50_0.1_5"
"120",120,"Bimodal",50,0.1,10,5,"Bimodal_50_0.1_10"
"121",121,"Bimodal",50,0.5,1,5,"Bimodal_50_0.5_1"
"122",122,"Bimodal",50,0.5,5,5,"Bimodal_50_0.5_5"
"123",123,"Bimodal",50,0.5,10,5,"Bimodal_50_0.5_10"
"124",124,"Bimodal",50,0.9,1,5,"Bimodal_50_0.9_1"
"125",125,"Bimodal",50,0.9,5,5,"Bimodal_50_0.9_5"
"126",126,"Bimodal",50,0.9,10,5,"Bimodal_50_0.9_10"
"127",127,"Bimodal",100,0.1,1,5,"Bimodal_100_0.1_1"
"128",128,"Bimodal",100,0.1,5,5,"Bimodal_100_0.1_5"
"129",129,"Bimodal",100,0.1,10,5,"Bimodal_100_0.1_10"
"130",130,"Bimodal",100,0.5,1,5,"Bimodal_100_0.5_1"
"131",131,"Bimodal",100,0.5,5,5,"Bimodal_100_0.5_5"
"132",132,"Bimodal",100,0.5,10,5,"Bimodal_100_0.5_10"
"133",133,"Bimodal",100,0.9,1,5,"Bimodal_100_0.9_1"
"134",134,"Bimodal",100,0.9,5,5,"Bimodal_100_0.9_5"
"135",135,"Bimodal",100,0.9,10,5,"Bimodal_100_0.9_10"
"136",136,"Bimodal",200,0.1,1,5,"Bimodal_200_0.1_1"
"137",137,"Bimodal",200,0.1,5,5,"Bimodal_200_0.1_5"
"138",138,"Bimodal",200,0.1,10,5,"Bimodal_200_0.1_10"
"139",139,"Bimodal",200,0.5,1,5,"Bimodal_200_0.5_1"
"140",140,"Bimodal",200,0.5,5,5,"Bimodal_200_0.5_5"
"141",141,"Bimodal",200,0.5,10,5,"Bimodal_200_0.5_10"
"142",142,"Bimodal",200,0.9,1,5,"Bimodal_200_0.9_1"
"143",143,"Bimodal",200,0.9,5,5,"Bimodal_200_0.9_5"
"144",144,"Bimodal",200,0.9,10,5,"Bimodal_200_0.9_10"
"145",145,"Skew",25,0.1,1,5,"Skew_25_0.1_1"
"146",146,"Skew",25,0.1,5,5,"Skew_25_0.1_5"
"147",147,"Skew",25,0.1,10,5,"Skew_25_0.1_10"
"148",148,"Skew",25,0.5,1,5,"Skew_25_0.5_1"
"149",149,"Skew",25,0.5,5,5,"Skew_25_0.5_5"
"150",150,"Skew",25,0.5,10,5,"Skew_25_0.5_10"
"151",151,"Skew",25,0.9,1,5,"Skew_25_0.9_1"
"152",152,"Skew",25,0.9,5,5,"Skew_25_0.9_5"
"153",153,"Skew",25,0.9,10,5,"Skew_25_0.9_10"
"154",154,"Skew",50,0.1,1,5,"Skew_50_0.1_1"
"155",155,"Skew",50,0.1,5,5,"Skew_50_0.1_5"
"156",156,"Skew",50,0.1,10,5,"Skew_50_0.1_10"
"157",157,"Skew",50,0.5,1,5,"Skew_50_0.5_1"
"158",158,"Skew",50,0.5,5,5,"Skew_50_0.5_5"
"159",159,"Skew",50,0.5,10,5,"Skew_50_0.5_10"
"160",160,"Skew",50,0.9,1,5,"Skew_50_0.9_1"
"161",161,"Skew",50,0.9,5,5,"Skew_50_0.9_5"
"162",162,"Skew",50,0.9,10,5,"Skew_50_0.9_10"
"163",163,"Skew",100,0.1,1,5,"Skew_100_0.1_1"
"164",164,"Skew",100,0.1,5,5,"Skew_100_0.1_5"
"165",165,"Skew",100,0.1,10,5,"Skew_100_0.1_10"
"166",166,"Skew",100,0.5,1,5,"Skew_100_0.5_1"
"167",167,"Skew",100,0.5,5,5,"Skew_100_0.5_5"
"168",168,"Skew",100,0.5,10,5,"Skew_100_0.5_10"
"169",169,"Skew",100,0.9,1,5,"Skew_100_0.9_1"
"170",170,"Skew",100,0.9,5,5,"Skew_100_0.9_5"
"171",171,"Skew",100,0.9,10,5,"Skew_100_0.9_10"
"172",172,"Skew",200,0.1,1,5,"Skew_200_0.1_1"
"173",173,"Skew",200,0.1,5,5,"Skew_200_0.1_5"
"174",174,"Skew",200,0.1,10,5,"Skew_200_0.1_10"
"175",175,"Skew",200,0.5,1,5,"Skew_200_0.5_1"
"176",176,"Skew",200,0.5,5,5,"Skew_200_0.5_5"
"177",177,"Skew",200,0.5,10,5,"Skew_200_0.5_10"
"178",178,"Skew",200,0.9,1,5,"Skew_200_0.9_1"
"179",179,"Skew",200,0.9,5,5,"Skew_200_0.9_5"
"180",180,"Skew",200,0.9,10,5,"Skew_200_0.9_10"
"181",181,"Mixed",25,0.1,1,5,"Mixed_25_0.1_1"
"182",182,"Mixed",25,0.1,5,5,"Mixed_25_0.1_5"
"183",183,"Mixed",25,0.1,10,5,"Mixed_25_0.1_10"
"184",184,"Mixed",25,0.5,1,5,"Mixed_25_0.5_1"
"185",185,"Mixed",25,0.5,5,5,"Mixed_25_0.5_5"
"186",186,"Mixed",25,0.5,10,5,"Mixed_25_0.5_10"
"187",187,"Mixed",25,0.9,1,5,"Mixed_25_0.9_1"
"188",188,"Mixed",25,0.9,5,5,"Mixed_25_0.9_5"
"189",189,"Mixed",25,0.9,10,5,"Mixed_25_0.9_10"
"190",190,"Mixed",50,0.1,1,5,"Mixed_50_0.1_1"
"191",191,"Mixed",50,0.1,5,5,"Mixed_50_0.1_5"
"192",192,"Mixed",50,0.1,10,5,"Mixed_50_0.1_10"
"193",193,"Mixed",50,0.5,1,5,"Mixed_50_0.5_1"
"194",194,"Mixed",50,0.5,5,5,"Mixed_50_0.5_5"
"195",195,"Mixed",50,0.5,10,5,"Mixed_50_0.5_10"
"196",196,"Mixed",50,0.9,1,5,"Mixed_50_0.9_1"
"197",197,"Mixed",50,0.9,5,5,"Mixed_50_0.9_5"
"198",198,"Mixed",50,0.9,10,5,"Mixed_50_0.9_10"
"199",199,"Mixed",100,0.1,1,5,"Mixed_100_0.1_1"
"200",200,"Mixed",100,0.1,5,5,"Mixed_100_0.1_5"
"201",201,"Mixed",100,0.1,10,5,"Mixed_100_0.1_10"
"202",202,"Mixed",100,0.5,1,5,"Mixed_100_0.5_1"
"203",203,"Mixed",100,0.5,5,5,"Mixed_100_0.5_5"
"204",204,"Mixed",100,0.5,10,5,"Mixed_100_0.5_10"
"205",205,"Mixed",100,0.9,1,5,"Mixed_100_0.9_1"
"206",206,"Mixed",100,0.9,5,5,"Mixed_100_0.9_5"
"207",207,"Mixed",100,0.9,10,5,"Mixed_100_0.9_10"
"208",208,"Mixed",200,0.1,1,5,"Mixed_200_0.1_1"
"209",209,"Mixed",200,0.1,5,5,"Mixed_200_0.1_5"
"210",210,"Mixed",200,0.1,10,5,"Mixed_200_0.1_10"
"211",211,"Mixed",200,0.5,1,5,"Mixed_200_0.5_1"
"212",212,"Mixed",200,0.5,5,5,"Mixed_200_0.5_5"
"213",213,"Mixed",200,0.5,10,5,"Mixed_200_0.5_10"
"214",214,"Mixed",200,0.9,1,5,"Mixed_200_0.9_1"
"215",215,"Mixed",200,0.9,5,5,"Mixed_200_0.9_5"
"216",216,"Mixed",200,0.9,10,5,"Mixed_200_0.9_10"
