"","truth","N","ICC","rsr","assumed","df","fname"
"1","Gaussian",25,0.1,1,"Gaussian",5,"Gaussian_25_0.1_1_Gaussian"
"2","Gaussian",25,0.1,1,"T",5,"Gaussian_25_0.1_1_T"
"3","Gaussian",25,0.1,1,"DP-diffuse",5,"Gaussian_25_0.1_1_DP-diffuse"
"4","Gaussian",25,0.1,1,"DP-EB",5,"Gaussian_25_0.1_1_DP-EB"
"5","Gaussian",25,0.1,5,"Gaussian",5,"Gaussian_25_0.1_5_Gaussian"
"6","Gaussian",25,0.1,5,"T",5,"Gaussian_25_0.1_5_T"
"7","Gaussian",25,0.1,5,"DP-diffuse",5,"Gaussian_25_0.1_5_DP-diffuse"
"8","Gaussian",25,0.1,5,"DP-EB",5,"Gaussian_25_0.1_5_DP-EB"
"9","Gaussian",25,0.1,10,"Gaussian",5,"Gaussian_25_0.1_10_Gaussian"
"10","Gaussian",25,0.1,10,"T",5,"Gaussian_25_0.1_10_T"
"11","Gaussian",25,0.1,10,"DP-diffuse",5,"Gaussian_25_0.1_10_DP-diffuse"
"12","Gaussian",25,0.1,10,"DP-EB",5,"Gaussian_25_0.1_10_DP-EB"
"13","Gaussian",25,0.5,1,"Gaussian",5,"Gaussian_25_0.5_1_Gaussian"
"14","Gaussian",25,0.5,1,"T",5,"Gaussian_25_0.5_1_T"
"15","Gaussian",25,0.5,1,"DP-diffuse",5,"Gaussian_25_0.5_1_DP-diffuse"
"16","Gaussian",25,0.5,1,"DP-EB",5,"Gaussian_25_0.5_1_DP-EB"
"17","Gaussian",25,0.5,5,"Gaussian",5,"Gaussian_25_0.5_5_Gaussian"
"18","Gaussian",25,0.5,5,"T",5,"Gaussian_25_0.5_5_T"
"19","Gaussian",25,0.5,5,"DP-diffuse",5,"Gaussian_25_0.5_5_DP-diffuse"
"20","Gaussian",25,0.5,5,"DP-EB",5,"Gaussian_25_0.5_5_DP-EB"
"21","Gaussian",25,0.5,10,"Gaussian",5,"Gaussian_25_0.5_10_Gaussian"
"22","Gaussian",25,0.5,10,"T",5,"Gaussian_25_0.5_10_T"
"23","Gaussian",25,0.5,10,"DP-diffuse",5,"Gaussian_25_0.5_10_DP-diffuse"
"24","Gaussian",25,0.5,10,"DP-EB",5,"Gaussian_25_0.5_10_DP-EB"
"25","Gaussian",25,0.9,1,"Gaussian",5,"Gaussian_25_0.9_1_Gaussian"
"26","Gaussian",25,0.9,1,"T",5,"Gaussian_25_0.9_1_T"
"27","Gaussian",25,0.9,1,"DP-diffuse",5,"Gaussian_25_0.9_1_DP-diffuse"
"28","Gaussian",25,0.9,1,"DP-EB",5,"Gaussian_25_0.9_1_DP-EB"
"29","Gaussian",25,0.9,5,"Gaussian",5,"Gaussian_25_0.9_5_Gaussian"
"30","Gaussian",25,0.9,5,"T",5,"Gaussian_25_0.9_5_T"
"31","Gaussian",25,0.9,5,"DP-diffuse",5,"Gaussian_25_0.9_5_DP-diffuse"
"32","Gaussian",25,0.9,5,"DP-EB",5,"Gaussian_25_0.9_5_DP-EB"
"33","Gaussian",25,0.9,10,"Gaussian",5,"Gaussian_25_0.9_10_Gaussian"
"34","Gaussian",25,0.9,10,"T",5,"Gaussian_25_0.9_10_T"
"35","Gaussian",25,0.9,10,"DP-diffuse",5,"Gaussian_25_0.9_10_DP-diffuse"
"36","Gaussian",25,0.9,10,"DP-EB",5,"Gaussian_25_0.9_10_DP-EB"
"37","Gaussian",50,0.1,1,"Gaussian",5,"Gaussian_50_0.1_1_Gaussian"
"38","Gaussian",50,0.1,1,"T",5,"Gaussian_50_0.1_1_T"
"39","Gaussian",50,0.1,1,"DP-diffuse",5,"Gaussian_50_0.1_1_DP-diffuse"
"40","Gaussian",50,0.1,1,"DP-EB",5,"Gaussian_50_0.1_1_DP-EB"
"41","Gaussian",50,0.1,5,"Gaussian",5,"Gaussian_50_0.1_5_Gaussian"
"42","Gaussian",50,0.1,5,"T",5,"Gaussian_50_0.1_5_T"
"43","Gaussian",50,0.1,5,"DP-diffuse",5,"Gaussian_50_0.1_5_DP-diffuse"
"44","Gaussian",50,0.1,5,"DP-EB",5,"Gaussian_50_0.1_5_DP-EB"
"45","Gaussian",50,0.1,10,"Gaussian",5,"Gaussian_50_0.1_10_Gaussian"
"46","Gaussian",50,0.1,10,"T",5,"Gaussian_50_0.1_10_T"
"47","Gaussian",50,0.1,10,"DP-diffuse",5,"Gaussian_50_0.1_10_DP-diffuse"
"48","Gaussian",50,0.1,10,"DP-EB",5,"Gaussian_50_0.1_10_DP-EB"
"49","Gaussian",50,0.5,1,"Gaussian",5,"Gaussian_50_0.5_1_Gaussian"
"50","Gaussian",50,0.5,1,"T",5,"Gaussian_50_0.5_1_T"
"51","Gaussian",50,0.5,1,"DP-diffuse",5,"Gaussian_50_0.5_1_DP-diffuse"
"52","Gaussian",50,0.5,1,"DP-EB",5,"Gaussian_50_0.5_1_DP-EB"
"53","Gaussian",50,0.5,5,"Gaussian",5,"Gaussian_50_0.5_5_Gaussian"
"54","Gaussian",50,0.5,5,"T",5,"Gaussian_50_0.5_5_T"
"55","Gaussian",50,0.5,5,"DP-diffuse",5,"Gaussian_50_0.5_5_DP-diffuse"
"56","Gaussian",50,0.5,5,"DP-EB",5,"Gaussian_50_0.5_5_DP-EB"
"57","Gaussian",50,0.5,10,"Gaussian",5,"Gaussian_50_0.5_10_Gaussian"
"58","Gaussian",50,0.5,10,"T",5,"Gaussian_50_0.5_10_T"
"59","Gaussian",50,0.5,10,"DP-diffuse",5,"Gaussian_50_0.5_10_DP-diffuse"
"60","Gaussian",50,0.5,10,"DP-EB",5,"Gaussian_50_0.5_10_DP-EB"
"61","Gaussian",50,0.9,1,"Gaussian",5,"Gaussian_50_0.9_1_Gaussian"
"62","Gaussian",50,0.9,1,"T",5,"Gaussian_50_0.9_1_T"
"63","Gaussian",50,0.9,1,"DP-diffuse",5,"Gaussian_50_0.9_1_DP-diffuse"
"64","Gaussian",50,0.9,1,"DP-EB",5,"Gaussian_50_0.9_1_DP-EB"
"65","Gaussian",50,0.9,5,"Gaussian",5,"Gaussian_50_0.9_5_Gaussian"
"66","Gaussian",50,0.9,5,"T",5,"Gaussian_50_0.9_5_T"
"67","Gaussian",50,0.9,5,"DP-diffuse",5,"Gaussian_50_0.9_5_DP-diffuse"
"68","Gaussian",50,0.9,5,"DP-EB",5,"Gaussian_50_0.9_5_DP-EB"
"69","Gaussian",50,0.9,10,"Gaussian",5,"Gaussian_50_0.9_10_Gaussian"
"70","Gaussian",50,0.9,10,"T",5,"Gaussian_50_0.9_10_T"
"71","Gaussian",50,0.9,10,"DP-diffuse",5,"Gaussian_50_0.9_10_DP-diffuse"
"72","Gaussian",50,0.9,10,"DP-EB",5,"Gaussian_50_0.9_10_DP-EB"
"73","Gaussian",100,0.1,1,"Gaussian",5,"Gaussian_100_0.1_1_Gaussian"
"74","Gaussian",100,0.1,1,"T",5,"Gaussian_100_0.1_1_T"
"75","Gaussian",100,0.1,1,"DP-diffuse",5,"Gaussian_100_0.1_1_DP-diffuse"
"76","Gaussian",100,0.1,1,"DP-EB",5,"Gaussian_100_0.1_1_DP-EB"
"77","Gaussian",100,0.1,5,"Gaussian",5,"Gaussian_100_0.1_5_Gaussian"
"78","Gaussian",100,0.1,5,"T",5,"Gaussian_100_0.1_5_T"
"79","Gaussian",100,0.1,5,"DP-diffuse",5,"Gaussian_100_0.1_5_DP-diffuse"
"80","Gaussian",100,0.1,5,"DP-EB",5,"Gaussian_100_0.1_5_DP-EB"
"81","Gaussian",100,0.1,10,"Gaussian",5,"Gaussian_100_0.1_10_Gaussian"
"82","Gaussian",100,0.1,10,"T",5,"Gaussian_100_0.1_10_T"
"83","Gaussian",100,0.1,10,"DP-diffuse",5,"Gaussian_100_0.1_10_DP-diffuse"
"84","Gaussian",100,0.1,10,"DP-EB",5,"Gaussian_100_0.1_10_DP-EB"
"85","Gaussian",100,0.5,1,"Gaussian",5,"Gaussian_100_0.5_1_Gaussian"
"86","Gaussian",100,0.5,1,"T",5,"Gaussian_100_0.5_1_T"
"87","Gaussian",100,0.5,1,"DP-diffuse",5,"Gaussian_100_0.5_1_DP-diffuse"
"88","Gaussian",100,0.5,1,"DP-EB",5,"Gaussian_100_0.5_1_DP-EB"
"89","Gaussian",100,0.5,5,"Gaussian",5,"Gaussian_100_0.5_5_Gaussian"
"90","Gaussian",100,0.5,5,"T",5,"Gaussian_100_0.5_5_T"
"91","Gaussian",100,0.5,5,"DP-diffuse",5,"Gaussian_100_0.5_5_DP-diffuse"
"92","Gaussian",100,0.5,5,"DP-EB",5,"Gaussian_100_0.5_5_DP-EB"
"93","Gaussian",100,0.5,10,"Gaussian",5,"Gaussian_100_0.5_10_Gaussian"
"94","Gaussian",100,0.5,10,"T",5,"Gaussian_100_0.5_10_T"
"95","Gaussian",100,0.5,10,"DP-diffuse",5,"Gaussian_100_0.5_10_DP-diffuse"
"96","Gaussian",100,0.5,10,"DP-EB",5,"Gaussian_100_0.5_10_DP-EB"
"97","Gaussian",100,0.9,1,"Gaussian",5,"Gaussian_100_0.9_1_Gaussian"
"98","Gaussian",100,0.9,1,"T",5,"Gaussian_100_0.9_1_T"
"99","Gaussian",100,0.9,1,"DP-diffuse",5,"Gaussian_100_0.9_1_DP-diffuse"
"100","Gaussian",100,0.9,1,"DP-EB",5,"Gaussian_100_0.9_1_DP-EB"
"101","Gaussian",100,0.9,5,"Gaussian",5,"Gaussian_100_0.9_5_Gaussian"
"102","Gaussian",100,0.9,5,"T",5,"Gaussian_100_0.9_5_T"
"103","Gaussian",100,0.9,5,"DP-diffuse",5,"Gaussian_100_0.9_5_DP-diffuse"
"104","Gaussian",100,0.9,5,"DP-EB",5,"Gaussian_100_0.9_5_DP-EB"
"105","Gaussian",100,0.9,10,"Gaussian",5,"Gaussian_100_0.9_10_Gaussian"
"106","Gaussian",100,0.9,10,"T",5,"Gaussian_100_0.9_10_T"
"107","Gaussian",100,0.9,10,"DP-diffuse",5,"Gaussian_100_0.9_10_DP-diffuse"
"108","Gaussian",100,0.9,10,"DP-EB",5,"Gaussian_100_0.9_10_DP-EB"
"109","Gaussian",200,0.1,1,"Gaussian",5,"Gaussian_200_0.1_1_Gaussian"
"110","Gaussian",200,0.1,1,"T",5,"Gaussian_200_0.1_1_T"
"111","Gaussian",200,0.1,1,"DP-diffuse",5,"Gaussian_200_0.1_1_DP-diffuse"
"112","Gaussian",200,0.1,1,"DP-EB",5,"Gaussian_200_0.1_1_DP-EB"
"113","Gaussian",200,0.1,5,"Gaussian",5,"Gaussian_200_0.1_5_Gaussian"
"114","Gaussian",200,0.1,5,"T",5,"Gaussian_200_0.1_5_T"
"115","Gaussian",200,0.1,5,"DP-diffuse",5,"Gaussian_200_0.1_5_DP-diffuse"
"116","Gaussian",200,0.1,5,"DP-EB",5,"Gaussian_200_0.1_5_DP-EB"
"117","Gaussian",200,0.1,10,"Gaussian",5,"Gaussian_200_0.1_10_Gaussian"
"118","Gaussian",200,0.1,10,"T",5,"Gaussian_200_0.1_10_T"
"119","Gaussian",200,0.1,10,"DP-diffuse",5,"Gaussian_200_0.1_10_DP-diffuse"
"120","Gaussian",200,0.1,10,"DP-EB",5,"Gaussian_200_0.1_10_DP-EB"
"121","Gaussian",200,0.5,1,"Gaussian",5,"Gaussian_200_0.5_1_Gaussian"
"122","Gaussian",200,0.5,1,"T",5,"Gaussian_200_0.5_1_T"
"123","Gaussian",200,0.5,1,"DP-diffuse",5,"Gaussian_200_0.5_1_DP-diffuse"
"124","Gaussian",200,0.5,1,"DP-EB",5,"Gaussian_200_0.5_1_DP-EB"
"125","Gaussian",200,0.5,5,"Gaussian",5,"Gaussian_200_0.5_5_Gaussian"
"126","Gaussian",200,0.5,5,"T",5,"Gaussian_200_0.5_5_T"
"127","Gaussian",200,0.5,5,"DP-diffuse",5,"Gaussian_200_0.5_5_DP-diffuse"
"128","Gaussian",200,0.5,5,"DP-EB",5,"Gaussian_200_0.5_5_DP-EB"
"129","Gaussian",200,0.5,10,"Gaussian",5,"Gaussian_200_0.5_10_Gaussian"
"130","Gaussian",200,0.5,10,"T",5,"Gaussian_200_0.5_10_T"
"131","Gaussian",200,0.5,10,"DP-diffuse",5,"Gaussian_200_0.5_10_DP-diffuse"
"132","Gaussian",200,0.5,10,"DP-EB",5,"Gaussian_200_0.5_10_DP-EB"
"133","Gaussian",200,0.9,1,"Gaussian",5,"Gaussian_200_0.9_1_Gaussian"
"134","Gaussian",200,0.9,1,"T",5,"Gaussian_200_0.9_1_T"
"135","Gaussian",200,0.9,1,"DP-diffuse",5,"Gaussian_200_0.9_1_DP-diffuse"
"136","Gaussian",200,0.9,1,"DP-EB",5,"Gaussian_200_0.9_1_DP-EB"
"137","Gaussian",200,0.9,5,"Gaussian",5,"Gaussian_200_0.9_5_Gaussian"
"138","Gaussian",200,0.9,5,"T",5,"Gaussian_200_0.9_5_T"
"139","Gaussian",200,0.9,5,"DP-diffuse",5,"Gaussian_200_0.9_5_DP-diffuse"
"140","Gaussian",200,0.9,5,"DP-EB",5,"Gaussian_200_0.9_5_DP-EB"
"141","Gaussian",200,0.9,10,"Gaussian",5,"Gaussian_200_0.9_10_Gaussian"
"142","Gaussian",200,0.9,10,"T",5,"Gaussian_200_0.9_10_T"
"143","Gaussian",200,0.9,10,"DP-diffuse",5,"Gaussian_200_0.9_10_DP-diffuse"
"144","Gaussian",200,0.9,10,"DP-EB",5,"Gaussian_200_0.9_10_DP-EB"
"145","T",25,0.1,1,"Gaussian",5,"T_25_0.1_1_Gaussian"
"146","T",25,0.1,1,"T",5,"T_25_0.1_1_T"
"147","T",25,0.1,1,"DP-diffuse",5,"T_25_0.1_1_DP-diffuse"
"148","T",25,0.1,1,"DP-EB",5,"T_25_0.1_1_DP-EB"
"149","T",25,0.1,5,"Gaussian",5,"T_25_0.1_5_Gaussian"
"150","T",25,0.1,5,"T",5,"T_25_0.1_5_T"
"151","T",25,0.1,5,"DP-diffuse",5,"T_25_0.1_5_DP-diffuse"
"152","T",25,0.1,5,"DP-EB",5,"T_25_0.1_5_DP-EB"
"153","T",25,0.1,10,"Gaussian",5,"T_25_0.1_10_Gaussian"
"154","T",25,0.1,10,"T",5,"T_25_0.1_10_T"
"155","T",25,0.1,10,"DP-diffuse",5,"T_25_0.1_10_DP-diffuse"
"156","T",25,0.1,10,"DP-EB",5,"T_25_0.1_10_DP-EB"
"157","T",25,0.5,1,"Gaussian",5,"T_25_0.5_1_Gaussian"
"158","T",25,0.5,1,"T",5,"T_25_0.5_1_T"
"159","T",25,0.5,1,"DP-diffuse",5,"T_25_0.5_1_DP-diffuse"
"160","T",25,0.5,1,"DP-EB",5,"T_25_0.5_1_DP-EB"
"161","T",25,0.5,5,"Gaussian",5,"T_25_0.5_5_Gaussian"
"162","T",25,0.5,5,"T",5,"T_25_0.5_5_T"
"163","T",25,0.5,5,"DP-diffuse",5,"T_25_0.5_5_DP-diffuse"
"164","T",25,0.5,5,"DP-EB",5,"T_25_0.5_5_DP-EB"
"165","T",25,0.5,10,"Gaussian",5,"T_25_0.5_10_Gaussian"
"166","T",25,0.5,10,"T",5,"T_25_0.5_10_T"
"167","T",25,0.5,10,"DP-diffuse",5,"T_25_0.5_10_DP-diffuse"
"168","T",25,0.5,10,"DP-EB",5,"T_25_0.5_10_DP-EB"
"169","T",25,0.9,1,"Gaussian",5,"T_25_0.9_1_Gaussian"
"170","T",25,0.9,1,"T",5,"T_25_0.9_1_T"
"171","T",25,0.9,1,"DP-diffuse",5,"T_25_0.9_1_DP-diffuse"
"172","T",25,0.9,1,"DP-EB",5,"T_25_0.9_1_DP-EB"
"173","T",25,0.9,5,"Gaussian",5,"T_25_0.9_5_Gaussian"
"174","T",25,0.9,5,"T",5,"T_25_0.9_5_T"
"175","T",25,0.9,5,"DP-diffuse",5,"T_25_0.9_5_DP-diffuse"
"176","T",25,0.9,5,"DP-EB",5,"T_25_0.9_5_DP-EB"
"177","T",25,0.9,10,"Gaussian",5,"T_25_0.9_10_Gaussian"
"178","T",25,0.9,10,"T",5,"T_25_0.9_10_T"
"179","T",25,0.9,10,"DP-diffuse",5,"T_25_0.9_10_DP-diffuse"
"180","T",25,0.9,10,"DP-EB",5,"T_25_0.9_10_DP-EB"
"181","T",50,0.1,1,"Gaussian",5,"T_50_0.1_1_Gaussian"
"182","T",50,0.1,1,"T",5,"T_50_0.1_1_T"
"183","T",50,0.1,1,"DP-diffuse",5,"T_50_0.1_1_DP-diffuse"
"184","T",50,0.1,1,"DP-EB",5,"T_50_0.1_1_DP-EB"
"185","T",50,0.1,5,"Gaussian",5,"T_50_0.1_5_Gaussian"
"186","T",50,0.1,5,"T",5,"T_50_0.1_5_T"
"187","T",50,0.1,5,"DP-diffuse",5,"T_50_0.1_5_DP-diffuse"
"188","T",50,0.1,5,"DP-EB",5,"T_50_0.1_5_DP-EB"
"189","T",50,0.1,10,"Gaussian",5,"T_50_0.1_10_Gaussian"
"190","T",50,0.1,10,"T",5,"T_50_0.1_10_T"
"191","T",50,0.1,10,"DP-diffuse",5,"T_50_0.1_10_DP-diffuse"
"192","T",50,0.1,10,"DP-EB",5,"T_50_0.1_10_DP-EB"
"193","T",50,0.5,1,"Gaussian",5,"T_50_0.5_1_Gaussian"
"194","T",50,0.5,1,"T",5,"T_50_0.5_1_T"
"195","T",50,0.5,1,"DP-diffuse",5,"T_50_0.5_1_DP-diffuse"
"196","T",50,0.5,1,"DP-EB",5,"T_50_0.5_1_DP-EB"
"197","T",50,0.5,5,"Gaussian",5,"T_50_0.5_5_Gaussian"
"198","T",50,0.5,5,"T",5,"T_50_0.5_5_T"
"199","T",50,0.5,5,"DP-diffuse",5,"T_50_0.5_5_DP-diffuse"
"200","T",50,0.5,5,"DP-EB",5,"T_50_0.5_5_DP-EB"
"201","T",50,0.5,10,"Gaussian",5,"T_50_0.5_10_Gaussian"
"202","T",50,0.5,10,"T",5,"T_50_0.5_10_T"
"203","T",50,0.5,10,"DP-diffuse",5,"T_50_0.5_10_DP-diffuse"
"204","T",50,0.5,10,"DP-EB",5,"T_50_0.5_10_DP-EB"
"205","T",50,0.9,1,"Gaussian",5,"T_50_0.9_1_Gaussian"
"206","T",50,0.9,1,"T",5,"T_50_0.9_1_T"
"207","T",50,0.9,1,"DP-diffuse",5,"T_50_0.9_1_DP-diffuse"
"208","T",50,0.9,1,"DP-EB",5,"T_50_0.9_1_DP-EB"
"209","T",50,0.9,5,"Gaussian",5,"T_50_0.9_5_Gaussian"
"210","T",50,0.9,5,"T",5,"T_50_0.9_5_T"
"211","T",50,0.9,5,"DP-diffuse",5,"T_50_0.9_5_DP-diffuse"
"212","T",50,0.9,5,"DP-EB",5,"T_50_0.9_5_DP-EB"
"213","T",50,0.9,10,"Gaussian",5,"T_50_0.9_10_Gaussian"
"214","T",50,0.9,10,"T",5,"T_50_0.9_10_T"
"215","T",50,0.9,10,"DP-diffuse",5,"T_50_0.9_10_DP-diffuse"
"216","T",50,0.9,10,"DP-EB",5,"T_50_0.9_10_DP-EB"
"217","T",100,0.1,1,"Gaussian",5,"T_100_0.1_1_Gaussian"
"218","T",100,0.1,1,"T",5,"T_100_0.1_1_T"
"219","T",100,0.1,1,"DP-diffuse",5,"T_100_0.1_1_DP-diffuse"
"220","T",100,0.1,1,"DP-EB",5,"T_100_0.1_1_DP-EB"
"221","T",100,0.1,5,"Gaussian",5,"T_100_0.1_5_Gaussian"
"222","T",100,0.1,5,"T",5,"T_100_0.1_5_T"
"223","T",100,0.1,5,"DP-diffuse",5,"T_100_0.1_5_DP-diffuse"
"224","T",100,0.1,5,"DP-EB",5,"T_100_0.1_5_DP-EB"
"225","T",100,0.1,10,"Gaussian",5,"T_100_0.1_10_Gaussian"
"226","T",100,0.1,10,"T",5,"T_100_0.1_10_T"
"227","T",100,0.1,10,"DP-diffuse",5,"T_100_0.1_10_DP-diffuse"
"228","T",100,0.1,10,"DP-EB",5,"T_100_0.1_10_DP-EB"
"229","T",100,0.5,1,"Gaussian",5,"T_100_0.5_1_Gaussian"
"230","T",100,0.5,1,"T",5,"T_100_0.5_1_T"
"231","T",100,0.5,1,"DP-diffuse",5,"T_100_0.5_1_DP-diffuse"
"232","T",100,0.5,1,"DP-EB",5,"T_100_0.5_1_DP-EB"
"233","T",100,0.5,5,"Gaussian",5,"T_100_0.5_5_Gaussian"
"234","T",100,0.5,5,"T",5,"T_100_0.5_5_T"
"235","T",100,0.5,5,"DP-diffuse",5,"T_100_0.5_5_DP-diffuse"
"236","T",100,0.5,5,"DP-EB",5,"T_100_0.5_5_DP-EB"
"237","T",100,0.5,10,"Gaussian",5,"T_100_0.5_10_Gaussian"
"238","T",100,0.5,10,"T",5,"T_100_0.5_10_T"
"239","T",100,0.5,10,"DP-diffuse",5,"T_100_0.5_10_DP-diffuse"
"240","T",100,0.5,10,"DP-EB",5,"T_100_0.5_10_DP-EB"
"241","T",100,0.9,1,"Gaussian",5,"T_100_0.9_1_Gaussian"
"242","T",100,0.9,1,"T",5,"T_100_0.9_1_T"
"243","T",100,0.9,1,"DP-diffuse",5,"T_100_0.9_1_DP-diffuse"
"244","T",100,0.9,1,"DP-EB",5,"T_100_0.9_1_DP-EB"
"245","T",100,0.9,5,"Gaussian",5,"T_100_0.9_5_Gaussian"
"246","T",100,0.9,5,"T",5,"T_100_0.9_5_T"
"247","T",100,0.9,5,"DP-diffuse",5,"T_100_0.9_5_DP-diffuse"
"248","T",100,0.9,5,"DP-EB",5,"T_100_0.9_5_DP-EB"
"249","T",100,0.9,10,"Gaussian",5,"T_100_0.9_10_Gaussian"
"250","T",100,0.9,10,"T",5,"T_100_0.9_10_T"
"251","T",100,0.9,10,"DP-diffuse",5,"T_100_0.9_10_DP-diffuse"
"252","T",100,0.9,10,"DP-EB",5,"T_100_0.9_10_DP-EB"
"253","T",200,0.1,1,"Gaussian",5,"T_200_0.1_1_Gaussian"
"254","T",200,0.1,1,"T",5,"T_200_0.1_1_T"
"255","T",200,0.1,1,"DP-diffuse",5,"T_200_0.1_1_DP-diffuse"
"256","T",200,0.1,1,"DP-EB",5,"T_200_0.1_1_DP-EB"
"257","T",200,0.1,5,"Gaussian",5,"T_200_0.1_5_Gaussian"
"258","T",200,0.1,5,"T",5,"T_200_0.1_5_T"
"259","T",200,0.1,5,"DP-diffuse",5,"T_200_0.1_5_DP-diffuse"
"260","T",200,0.1,5,"DP-EB",5,"T_200_0.1_5_DP-EB"
"261","T",200,0.1,10,"Gaussian",5,"T_200_0.1_10_Gaussian"
"262","T",200,0.1,10,"T",5,"T_200_0.1_10_T"
"263","T",200,0.1,10,"DP-diffuse",5,"T_200_0.1_10_DP-diffuse"
"264","T",200,0.1,10,"DP-EB",5,"T_200_0.1_10_DP-EB"
"265","T",200,0.5,1,"Gaussian",5,"T_200_0.5_1_Gaussian"
"266","T",200,0.5,1,"T",5,"T_200_0.5_1_T"
"267","T",200,0.5,1,"DP-diffuse",5,"T_200_0.5_1_DP-diffuse"
"268","T",200,0.5,1,"DP-EB",5,"T_200_0.5_1_DP-EB"
"269","T",200,0.5,5,"Gaussian",5,"T_200_0.5_5_Gaussian"
"270","T",200,0.5,5,"T",5,"T_200_0.5_5_T"
"271","T",200,0.5,5,"DP-diffuse",5,"T_200_0.5_5_DP-diffuse"
"272","T",200,0.5,5,"DP-EB",5,"T_200_0.5_5_DP-EB"
"273","T",200,0.5,10,"Gaussian",5,"T_200_0.5_10_Gaussian"
"274","T",200,0.5,10,"T",5,"T_200_0.5_10_T"
"275","T",200,0.5,10,"DP-diffuse",5,"T_200_0.5_10_DP-diffuse"
"276","T",200,0.5,10,"DP-EB",5,"T_200_0.5_10_DP-EB"
"277","T",200,0.9,1,"Gaussian",5,"T_200_0.9_1_Gaussian"
"278","T",200,0.9,1,"T",5,"T_200_0.9_1_T"
"279","T",200,0.9,1,"DP-diffuse",5,"T_200_0.9_1_DP-diffuse"
"280","T",200,0.9,1,"DP-EB",5,"T_200_0.9_1_DP-EB"
"281","T",200,0.9,5,"Gaussian",5,"T_200_0.9_5_Gaussian"
"282","T",200,0.9,5,"T",5,"T_200_0.9_5_T"
"283","T",200,0.9,5,"DP-diffuse",5,"T_200_0.9_5_DP-diffuse"
"284","T",200,0.9,5,"DP-EB",5,"T_200_0.9_5_DP-EB"
"285","T",200,0.9,10,"Gaussian",5,"T_200_0.9_10_Gaussian"
"286","T",200,0.9,10,"T",5,"T_200_0.9_10_T"
"287","T",200,0.9,10,"DP-diffuse",5,"T_200_0.9_10_DP-diffuse"
"288","T",200,0.9,10,"DP-EB",5,"T_200_0.9_10_DP-EB"
"289","ALD",25,0.1,1,"Gaussian",5,"ALD_25_0.1_1_Gaussian"
"290","ALD",25,0.1,1,"T",5,"ALD_25_0.1_1_T"
